table_name,classificacao_formacao,classificacao_confidence,classificacao_notes,inventario_formacao,inventario_status_tratamento,inventario_perfil,inventario_n_linhas,inventario_n_colunas,classificacao_utilidade,score_utilidade_preditiva,campos_uteis_preditiva,qualidade_status,qualidade_profile,qualidade_n_rows,qualidade_n_cols,missing_pct,error,dedup_content_hash,dedup_file_size,dedup_canonical_table,dedup_is_duplicate,amostra_bruta_existe,match_classificacao_inventario,match_qualidade_inventario,flag_revisao
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,cabecalho_composto_1,high,,cabecalho_composto_1,tratado,colunar_denso,33,15,Média,6,"contratados_empr, contratados_uh, concluidos_empr, concluidos_uh, entregues_empr, entregues_uh",treated,colunar_denso,71,15,4.788732394366197,,1079531e793f35257f5d03b1a87c1ae0,76,001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,false,False,True,True,
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,sub_tabelas_1,high,,sub_tabelas_1,tratado,sub_tabelas_1,170,8,Nenhuma,0,data_referencia,error,sub_tabelas_1,0,0,0.0,Identifier '_001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012' exceeds maximum length of 63 characters,15b3d393766ac87369e54837bbb8cb58,536,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,false,False,True,True,
001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia,sub_tabelas_1,high,,sub_tabelas_1,nao_tratado,,0,0,Nenhuma,-4,,,,,,,,15b3d393766ac87369e54837bbb8cb58,536,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,true,False,True,True,
001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201,sub_tabelas_1,high,,sub_tabelas_1,nao_tratado,,0,0,Nenhuma,-4,,,,,,,,15b3d393766ac87369e54837bbb8cb58,536,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,true,False,True,True,
001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,bem_formada,high,,bem_formada,tratado,colunar_denso,200,38,Alta,8,"uf, codmunicibge, municipio, valor_do_emprestimo, valor_da_contrapartida_do_poder_publico, valor_total_do_investimento, siaci_valorsubsidio_fgts, siaci_valorsubsidio_ogu, idregistro, codapf, valor_total_liberado, de_obra_executada, unidades_concluidas, unidades_em_obras, faixa_perc, data_prevista_termino_obra, unidades_entregues",treated,colunar_denso,18244,40,4.992874369655778,,79689932e388e2be45c08f6902275509,18244,001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,false,False,True,True,
001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,bem_formada,high,,bem_formada,tratado,colunar_denso,200,38,Alta,8,"uf, codmunicibge, municipio, valor_do_emprestimo, valor_da_contrapartida_do_poder_publico, valor_total_do_investimento, siaci_valorsubsidio_fgts, siaci_valorsubsidio_ogu, idregistro, codapf, valor_total_liberado, de_obra_executada, unidades_concluidas, unidades_em_obras, faixa_perc, data_prevista_termino_obra, unidades_entregues",treated,colunar_denso,18352,40,4.993188753269399,,a86658a778d7549fb123befc0e64847c,18352,001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,false,False,True,True,
001_2012_10_outubro_20121009_pmcmv_relatório_executivo_0910201,sub_tabelas_1,high,,sub_tabelas_1,nao_tratado,,0,0,Nenhuma,-4,,,,,,,,15b3d393766ac87369e54837bbb8cb58,536,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,true,False,True,True,
001_2014_12_dezembro_rel_executivo_resumo_31122014_reprocessado,sub_tabelas_1,high,,sub_tabelas_1,nao_tratado,,0,0,Nenhuma,-4,,,,,,,,15b3d393766ac87369e54837bbb8cb58,536,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,true,False,True,True,
011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,bem_formada,high,,bem_formada,tratado,colunar_denso,200,14,Baixa,3,"uf, municipio, contratado",treated,colunar_denso,7032,14,7.142857142857142,,baba95ad71b407d5bb98a392475983ad,7032,011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,false,False,True,True,
018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,bem_formada,medium,inconsistência de tipos entre colunas,bem_formada,tratado,colunar_denso,200,39,Alta,9,"dt_movimento, cod_municipio_ibge, nu_apf, situacao_obra_gefus, dt_assinatura, dt_inicio_obra, dt_ultima_liberacao_recurso, dt_termino_obra, dt_primeira_entrega, dt_ultima_entrega, percentual_obra_realizado, vlr_operacao, vr_investimento, vr_liberado, qt_unidades_concluidas, qt_unidades_entregues, cod_situacao_contrato_pj, desc_situacao_contrato, vr_contrapartida_1",error,bem_formada,0,0,0.0,Identifier '_018_int040_ministeriocidades_far_caixa_empreendimentos_20181001' exceeds maximum length of 63 characters,d4a4f850f5581bf13d31151234ca213f,8224,018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,false,False,True,False,qualidade_vs_inventario;
